+--------------------------------------------------------------------------------------------------------+--------+-------------+------------+----------+
| SCOPE:NAME                                                                                             | GUID   | ADLER32     | FILESIZE   | EVENTS   |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/1b559fad-a169-47ba-93d5-545e1246c845.root   | (None) | ad:400a5d2d | 3.803 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/1ce65d76-d025-4b04-9361-9fdb1e719121.root   | (None) | ad:40185d8c | 3.376 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/1fe793b4-5746-4b1f-a480-9a265f4b47ab.root   | (None) | ad:05c5d407 | 3.861 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/215f62c3-cba4-4e12-aff6-8442c886ee17.root   | (None) | ad:7ed22980 | 3.655 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/21e4f8bd-02e8-4c0d-a9b6-986c8a7fbe58.root   | (None) | ad:1aa78107 | 4.280 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/228eeaa1-b7b6-4355-8db8-24809e97b930.root   | (None) | ad:cb21e804 | 4.027 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/22a1b0d3-718c-4822-a469-c401ef8c5bc9.root   | (None) | ad:142b27d6 | 4.303 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/2340d2b7-1444-46e0-8aa6-517d3c298e03.root   | (None) | ad:9e7660c4 | 3.100 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/242f8e1c-8a86-4dd9-9d28-1512d88f0339.root   | (None) | ad:4373c4f3 | 4.025 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/2489ac35-d5eb-45b5-a235-727e27dbca3a.root   | (None) | ad:4f8275d6 | 4.016 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/25169c0a-badf-43f3-8a5f-6feb96a3f62d.root   | (None) | ad:796d6672 | 3.857 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/27f66b30-86a4-4fa1-8c2b-9b9bab7c6a89.root   | (None) | ad:bc8f356f | 4.294 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/2a4ceb4d-60be-4f7b-996c-64966e9b69ca.root   | (None) | ad:0e74dcea | 4.032 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/2b012da6-d5d2-4934-8837-6a05ca445a91.root   | (None) | ad:8133e74b | 4.000 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/2b2310d7-2d14-4b61-bb58-10ab4a37f24c.root   | (None) | ad:b6b9086d | 2.845 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/2be876cf-be3d-4aef-a4cb-7890aec0351c.root   | (None) | ad:72b700d7 | 3.857 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/2eb852c9-4696-4c6d-8a14-e0a20ce5b2aa.root   | (None) | ad:b2563d53 | 3.829 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/2fa57e43-c0c9-4ce7-be69-f0b07319644a.root   | (None) | ad:6fb18e25 | 3.912 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/301e131c-65d0-475c-8257-783f866e659b.root   | (None) | ad:85f64835 | 3.765 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/30460ceb-907f-4872-bc5e-07ed2f373565.root   | (None) | ad:f08583fe | 3.768 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/317e73d0-2d20-42d5-bae2-748518d454de.root   | (None) | ad:cfd2201f | 4.183 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/33581446-fba2-476e-bf23-54ea05662166.root   | (None) | ad:a32a0b69 | 4.264 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/338486ed-451f-4ec1-8086-2823a06207d0.root   | (None) | ad:36e4dfa7 | 3.104 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/37e3d8c0-22fb-4ec0-aad7-0633455032d1.root   | (None) | ad:0f51610d | 3.086 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/39307db9-dd94-4f3c-9928-69981899856c.root   | (None) | ad:f65f62fe | 3.754 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3959cc53-4870-496e-b210-f7e3f8fe3d52.root   | (None) | ad:cd2e3032 | 3.553 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3a5b42e0-5c82-4169-bf11-b65dcd6d2a4c.root   | (None) | ad:d250bb54 | 3.902 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3b6e3ffe-4feb-4835-8234-b9e5cc8f7521.root   | (None) | ad:d45c4bd5 | 3.480 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3be57afe-d8ea-4a14-86a7-5edcfa70259c.root   | (None) | ad:280f5277 | 3.565 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3be8c89e-e407-4158-b153-b599f4c15bec.root   | (None) | ad:2acc9768 | 4.000 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3ce185d1-4fec-41bb-9d91-8ba867a12708.root   | (None) | ad:772df480 | 3.956 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3d9579ba-9f0d-4f1a-b388-5b683d0fab17.root   | (None) | ad:56698129 | 3.777 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3eac0ce2-8d56-4fff-9d1f-72f4559869d7.root   | (None) | ad:f5c80e1d | 3.713 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3f7a5161-d16d-4bb8-825a-c3d39f3f8767.root   | (None) | ad:2ef053a4 | 3.726 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/3fe95f67-2b9c-4f1b-8fb8-334c33b08f97.root   | (None) | ad:588f5c38 | 3.197 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/425793c9-e451-4cfd-983a-f159703c4010.root   | (None) | ad:6f81c3a0 | 3.929 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4377b31d-b6b0-4ad4-bba0-dcf54e2baa3b.root   | (None) | ad:61d28952 | 4.181 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/43ae4751-84d3-4996-b586-3cc69bd4c2c0.root   | (None) | ad:341b74a5 | 3.774 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/45312da3-293a-47ef-944e-b43fc77c1e9f.root   | (None) | ad:c0eb258a | 4.301 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/455318c6-f530-468d-8001-2774d1be470e.root   | (None) | ad:5709e512 | 3.843 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/46428144-9c02-42ff-8d69-83f884daa92b.root   | (None) | ad:165f3dfa | 3.660 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/46d15798-41f8-4137-b32e-4e7fd66a5da5.root   | (None) | ad:f4bebb11 | 4.068 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/46e3037d-1d42-4946-98c6-ea2fcdc14ba2.root   | (None) | ad:9f5154f5 | 3.604 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/46e71ee7-db6a-4d3d-9fca-695b441227e2.root   | (None) | ad:f4c339c0 | 4.065 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/472b019c-739f-48ac-a1f8-c19845d7e9a4.root   | (None) | ad:216976ac | 4.042 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/47aff2ea-778f-4451-87b5-2d067e4215d1.root   | (None) | ad:1148d1b3 | 3.985 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/47de7794-ad9b-4da6-bc59-7e7ed5ed1068.root   | (None) | ad:b94f7b15 | 3.695 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/48d1ebbc-008a-41cd-9c17-a1ef00e6377a.root   | (None) | ad:359ffa70 | 3.317 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4951c9a4-8593-4697-8d70-bad53098b123.root   | (None) | ad:e39acc7f | 4.268 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/49dbe26b-85c6-42ff-a739-4848dc8ce40f.root   | (None) | ad:f91365fc | 4.126 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/49fe15bc-f312-4191-8919-09690e42dcd6.root   | (None) | ad:706f9ae4 | 4.285 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4a589c82-9589-42e4-b7ff-4e2636db9d4c.root   | (None) | ad:44315dba | 3.587 GB   |          |
| cms:/store/data/Run2022B/SingleMuon/AOD/27Jun2023-v1/70000/4ac668c1-c76b-4d3b-848d-ff807e82b3fd.root   | (None) | ad:2e9f240f | 4.140 GB   |          |
