Wheel,Chamber_id,Sector,Issue
W-1,RB3-_B,S10,gas_disconnected
W-1,RB3-_F,S10,gas_disconnected
W-1,RB3+_B,S10,gas_disconnected
W-1,RB3+_F,S10,gas_disconnected
W-1,RB4+_B,S10,gas_disconnected
W-1,RB4+_F,S10,gas_disconnected
W-1,RB1in_B,S11,gas_disconnected
W-1,RB1in_F,S11,gas_disconnected
W-1,RB1out_B,S11,gas_disconnected
W-1,RB1out_F,S11,gas_disconnected
W-1,RB3-_B,S11,permanently_off
W-1,RB3-_F,S11,permanently_off
W-1,RB3+_B,S12,permanently_off
W-1,RB3+_F,S12,permanently_off
W-1,RB4-_B,S12,gas_disconnected
W-1,RB4-_F,S12,gas_disconnected
W-1,RB4+_B,S12,hv
W0,RB4-_B,S1,permanently_off
W0,RB4-_F,S1,permanently_off
W0,RB1in_B,S2,gas_disconnected
W0,RB1in_F,S2,gas_disconnected
W0,RB1out_B,S2,gas_disconnected
W0,RB1out_F,S2,gas_disconnected
W0,RB3+_B,S2,gas_disconnected
W0,RB3+_F,S2,gas_disconnected
W0,RB1out_B,S3,gas_disconnected
W0,RB1out_F,S3,gas_disconnected
W0,RB2out_B,S4,gas_disconnected
W0,RB2out_F,S4,gas_disconnected
W0,RB3-_B,S4,gas_disconnected
W0,RB3-_F,S4,gas_disconnected
W0,RB3+_B,S4,gas_disconnected
W0,RB3+_F,S4,gas_disconnected
W0,RB4+_B,S4,gas_disconnected
W0,RB4+_F,S4,gas_disconnected
W0,RB4++_B,S4,gas_disconnected
W0,RB4++_F,S4,gas_disconnected
W0,RB1in_B,S5,permanently_off
W0,RB1in_F,S5,permanently_off
W0,RB1out_B,S5,permanently_off
W0,RB1out_F,S5,permanently_off
W0,RB3-_B,S5,gas_disconnected
W0,RB3-_F,S5,gas_disconnected
W0,RB3+_B,S5,gas_disconnected
W0,RB3+_F,S5,gas_disconnected
W0,RB1out_B,S6,gas_disconnected
W0,RB1out_F,S6,gas_disconnected
W0,RB2in_B,S6,gas_disconnected
W0,RB2in_M,S6,gas_disconnected
W0,RB2in_F,S6,gas_disconnected
W0,RB3-_B,S6,permanently_off
W0,RB3-_F,S6,permanently_off
W0,RB3+_B,S6,gas_disconnected
W0,RB3+_F,S6,gas_disconnected
W0,RB2in_B,S7,gas_disconnected
W0,RB2in_M,S7,gas_disconnected
W0,RB2in_F,S7,gas_disconnected
W0,RB4-_B,S7,permanently_off
W0,RB4-_F,S7,permanently_off
W0,RB4+_B,S7,gas_disconnected
W0,RB4+_F,S7,gas_disconnected
W0,RB2out_B,S8,masked
W0,RB2out_F,S8,masked
W0,RB3-_B,S8,gas_disconnected
W0,RB3-_F,S8,gas_disconnected
W0,RB3+_B,S8,gas_disconnected
W0,RB3+_F,S8,gas_disconnected
W0,RB3-_B,S9,gas_disconnected
W0,RB3-_F,S9,gas_disconnected
W0,RB3+_B,S9,gas_disconnected
W0,RB3+_F,S9,gas_disconnected
W0,RB1in_B,S10,gas_disconnected
W0,RB1in_F,S10,gas_disconnected
