roll_name,det_id,area,is_front,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
W-1_RB2out_S04_Backward,637569457,28991.2,0,142.7,529.975,-146.4,-105.3,529.975,-146.4,-105.3,529.975,-263.3,142.7,529.975,-263.3
W-1_RB2out_S04_Forward,637634993,31049.6,0,142.7,529.975,-263.9,-105.3,529.975,-263.9,-105.3,529.975,-389.1,142.7,529.975,-389.1
W-1_RB2in_S05_Backward,637567537,19071.2,0,-339.286,375.661,-146.4,-124.512,499.661,-146.4,-124.512,499.661,-223.3,-339.286,375.661,-223.3
W-1_RB2in_S05_Middle,637600305,19691.2,0,-339.286,375.661,-223.9,-124.512,499.661,-223.9,-124.512,499.661,-303.3,-339.286,375.661,-303.3
W-1_RB2in_S05_Forward,637633073,21129.6,0,-339.286,375.661,-303.9,-124.512,499.661,-303.9,-124.512,499.661,-389.1,-339.286,375.661,-389.1
W-1_RB2out_S05_Backward,637569585,28991.2,0,-141.406,530.322,-146.4,-356.18,406.322,-146.4,-356.18,406.322,-263.3,-141.406,530.322,-263.3
W-1_RB2out_S05_Forward,637635121,31049.6,0,-141.406,530.322,-263.9,-356.18,406.322,-263.9,-356.18,406.322,-389.1,-141.406,530.322,-389.1
W-1_RB2in_S06_Backward,637567665,19071.2,0,-481.661,155.689,-146.4,-357.661,370.463,-146.4,-357.661,370.463,-223.3,-481.661,155.689,-223.3
W-1_RB2in_S06_Middle,637600433,19691.2,0,-481.661,155.689,-223.9,-357.661,370.463,-223.9,-357.661,370.463,-303.3,-481.661,155.689,-303.3
W-1_RB2in_S06_Forward,637633201,21129.6,0,-481.661,155.689,-303.9,-357.661,370.463,-303.9,-357.661,370.463,-389.1,-481.661,155.689,-389.1
W-1_RB2out_S06_Backward,637569713,28991.2,0,-387.622,388.569,-146.4,-511.622,173.795,-146.4,-511.622,173.795,-263.3,-387.622,388.569,-263.3
W-1_RB2out_S06_Forward,637635249,31049.6,0,-387.622,388.569,-263.9,-511.622,173.795,-263.9,-511.622,173.795,-389.1,-387.622,388.569,-389.1
W-1_RB2in_S07_Backward,637567793,19071.2,0,-494.975,-106,-146.4,-494.975,142,-146.4,-494.975,142,-223.3,-494.975,-106,-223.3
W-1_RB2in_S07_Middle,637600561,19691.2,0,-494.975,-106,-223.9,-494.975,142,-223.9,-494.975,142,-303.3,-494.975,-106,-303.3
W-1_RB2in_S07_Forward,637633329,21129.6,0,-494.975,-106,-303.9,-494.975,142,-303.9,-494.975,142,-389.1,-494.975,-106,-389.1
W-1_RB2out_S07_Backward,637569841,28991.2,0,-529.975,142.7,-146.4,-529.975,-105.3,-146.4,-529.975,-105.3,-263.3,-529.975,142.7,-263.3
W-1_RB2out_S07_Forward,637635377,31049.6,0,-529.975,142.7,-263.9,-529.975,-105.3,-263.9,-529.975,-105.3,-389.1,-529.975,142.7,-389.1
W-1_RB2in_S08_Backward,637567921,19071.2,0,-375.661,-339.286,-146.4,-499.661,-124.512,-146.4,-499.661,-124.512,-223.3,-375.661,-339.286,-223.3
W-1_RB2in_S08_Middle,637600689,19691.2,0,-375.661,-339.286,-223.9,-499.661,-124.512,-223.9,-499.661,-124.512,-303.3,-375.661,-339.286,-303.3
