Type                                  Module                      Label             Process        Full Name
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFNeg"   "RECO"         l1tMuonBXVector_gmtStage2Digis_imdMuonsOMTFNeg_RECO
BXVector<l1t::Muon>                   "gmtStage2Digis"            "imdMuonsOMTFPos"   "RECO"         l1tMuonBXVector_gmtStage2Digis_imdMuonsOMTFPos_RECO
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShower"      "RECO"         l1tMuonShowerBXVector_gmtStage2Digis_MuonShower_RECO
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower"      "RECO"         l1tMuonShowerBXVector_gtStage2Digis_MuonShower_RECO
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower2"     "RECO"         l1tMuonShowerBXVector_gtStage2Digis_MuonShower2_RECO
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower3"     "RECO"         l1tMuonShowerBXVector_gtStage2Digis_MuonShower3_RECO
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower4"     "RECO"         l1tMuonShowerBXVector_gtStage2Digis_MuonShower4_RECO
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower5"     "RECO"         l1tMuonShowerBXVector_gtStage2Digis_MuonShower5_RECO
BXVector<l1t::MuonShower>             "gtStage2Digis"             "MuonShower6"     "RECO"         l1tMuonShowerBXVector_gtStage2Digis_MuonShower6_RECO
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy1"   "RECO"         l1tMuonShowerBXVector_gmtStage2Digis_MuonShowerCopy1_RECO
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy2"   "RECO"         l1tMuonShowerBXVector_gmtStage2Digis_MuonShowerCopy2_RECO
BXVector<l1t::MuonShower>             "gmtStage2Digis"            "MuonShowerCopy3"   "RECO"         l1tMuonShowerBXVector_gmtStage2Digis_MuonShowerCopy3_RECO
