Type                                  Module                      Label             Process        Full Name
EBDigiCollection                      "selectDigi"                "selectedEcalEBDigiCollection"   "RECO"         EBDigiCollection_selectDigi_selectedEcalEBDigiCollection_RECO
EEDigiCollection                      "selectDigi"                "selectedEcalEEDigiCollection"   "RECO"         EEDigiCollection_selectDigi_selectedEcalEEDigiCollection_RECO
HcalNoiseSummary                      "hcalnoise"                 ""                "RECO"         HcalNoiseSummary_hcalnoise__RECO
HcalUnpackerReport                    "hcalDigis"                 ""                "RECO"         HcalUnpackerReport_hcalDigis__RECO
L1GlobalTriggerReadoutRecord          "gtDigis"                   ""                "RECO"         L1GlobalTriggerReadoutRecord_gtDigis__RECO
OnlineLuminosityRecord                "onlineMetaDataDigis"       ""                "RECO"         OnlineLuminosityRecord_onlineMetaDataDigis__RECO
TCDSRecord                            "tcdsDigis"                 "tcdsRecord"      "RECO"         TCDSRecord_tcdsDigis_tcdsRecord_RECO
double                                "fixedGridRhoAll"           ""                "RECO"         double_fixedGridRhoAll__RECO
double                                "fixedGridRhoFastjetAll"    ""                "RECO"         double_fixedGridRhoFastjetAll__RECO
double                                "fixedGridRhoFastjetAllCalo"   ""                "RECO"         double_fixedGridRhoFastjetAllCalo__RECO
double                                "fixedGridRhoFastjetAllTmp"   ""                "RECO"         double_fixedGridRhoFastjetAllTmp__RECO
double                                "fixedGridRhoFastjetCentral"   ""                "RECO"         double_fixedGridRhoFastjetCentral__RECO
double                                "fixedGridRhoFastjetCentralCalo"   ""                "RECO"         double_fixedGridRhoFastjetCentralCalo__RECO
double                                "fixedGridRhoFastjetCentralChargedPileUp"   ""                "RECO"         double_fixedGridRhoFastjetCentralChargedPileUp__RECO
double                                "fixedGridRhoFastjetCentralNeutral"   ""                "RECO"         double_fixedGridRhoFastjetCentralNeutral__RECO
double                                "ak4CaloJets"               "rho"             "RECO"         double_ak4CaloJets_rho_RECO
double                                "ak4PFJets"                 "rho"             "RECO"         double_ak4PFJets_rho_RECO
double                                "ak4PFJetsCHS"              "rho"             "RECO"         double_ak4PFJetsCHS_rho_RECO
double                                "ak4PFJetsPuppi"            "rho"             "RECO"         double_ak4PFJetsPuppi_rho_RECO
double                                "ak8PFJetsPuppi"            "rho"             "RECO"         double_ak8PFJetsPuppi_rho_RECO
double                                "ak8PFJetsPuppiSoftDrop"    "rho"             "RECO"         double_ak8PFJetsPuppiSoftDrop_rho_RECO
double                                "ak4CaloJets"               "sigma"           "RECO"         double_ak4CaloJets_sigma_RECO
double                                "ak4PFJets"                 "sigma"           "RECO"         double_ak4PFJets_sigma_RECO
double                                "ak4PFJetsCHS"              "sigma"           "RECO"         double_ak4PFJetsCHS_sigma_RECO
double                                "ak4PFJetsPuppi"            "sigma"           "RECO"         double_ak4PFJetsPuppi_sigma_RECO
double                                "ak8PFJetsPuppi"            "sigma"           "RECO"         double_ak8PFJetsPuppi_sigma_RECO
double                                "ak8PFJetsPuppiSoftDrop"    "sigma"           "RECO"         double_ak8PFJetsPuppiSoftDrop_sigma_RECO
edm::Association<vector<reco::DeDxHitInfo> >    "dedxHitInfo"               ""                "RECO"         recoDeDxHitInfosedmAssociation_dedxHitInfo__RECO
edm::Association<vector<reco::Track> >    "lowPtGsfToTrackLinks"      ""                "RECO"         recoTracksedmAssociation_lowPtGsfToTrackLinks__RECO
edm::Association<vector<reco::TrackExtra> >    "displacedMuonReducedTrackExtras"   ""                "RECO"         recoTrackExtrasedmAssociation_displacedMuonReducedTrackExtras__RECO
edm::Association<vector<reco::TrackExtra> >    "muonReducedTrackExtras"    ""                "RECO"         recoTrackExtrasedmAssociation_muonReducedTrackExtras__RECO
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVertices"    ""                "RECO"         recoVertexsedmAssociation_offlinePrimaryVertices__RECO
edm::Association<vector<reco::Vertex> >    "offlinePrimaryVerticesWithBS"   ""                "RECO"         recoVertexsedmAssociation_offlinePrimaryVerticesWithBS__RECO
edm::AssociationMap<edm::OneToOne<vector<reco::SuperCluster>,vector<reco::HFEMClusterShape>,unsigned int> >    "hfEMClusters"              ""                "RECO"         recoSuperClustersToOnerecoHFEMClusterShapesAssociation_hfEMClusters__RECO
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "default"         "RECO"         recoTracksToOnerecoTracksAssociation_tevMuons_default_RECO
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "dyt"             "RECO"         recoTracksToOnerecoTracksAssociation_tevMuons_dyt_RECO
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "firstHit"        "RECO"         recoTracksToOnerecoTracksAssociation_tevMuons_firstHit_RECO
edm::AssociationMap<edm::OneToOne<vector<reco::Track>,vector<reco::Track>,unsigned int> >    "tevMuons"                  "picky"           "RECO"         recoTracksToOnerecoTracksAssociation_tevMuons_picky_RECO
edm::AssociationVector<edm::RefProd<vector<reco::PFTau> >,vector<edm::Ref<vector<reco::PFTauTransverseImpactParameter>,reco::PFTauTransverseImpactParameter,edm::refhelper::FindUsingAdvance<vector<reco::PFTauTransverseImpactParameter>,reco::PFTauTransverseImpactParameter> > >,edm::Ref<vector<reco::PFTau>,reco::PFTau,edm::refhelper::FindUsingAdvance<vector<reco::PFTau>,reco::PFTau> >,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "hpsPFTauTransverseImpactParameters"   ""                "RECO"         recoPFTausedmRefProdrecoPFTauTransverseImpactParametersrecoPFTauTransverseImpactParameterrecoPFTauTransverseImpactParametersTorecoPFTauTransverseImpactParameteredmrefhelperFindUsingAdvanceedmRefsAssociationVector_hpsPFTauTransverseImpactParameters__RECO
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorAtVertex"   ""                "RECO"         recoJetedmRefToBaseProdrecoTracksrecoTrackrecoTracksTorecoTrackedmrefhelperFindUsingAdvanceedmRefVectorsAssociationVector_ak4JetTracksAssociatorAtVertex__RECO
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorAtVertexPF"   ""                "RECO"         recoJetedmRefToBaseProdrecoTracksrecoTrackrecoTracksTorecoTrackedmrefhelperFindUsingAdvanceedmRefVectorsAssociationVector_ak4JetTracksAssociatorAtVertexPF__RECO
edm::AssociationVector<edm::RefToBaseProd<reco::Jet>,vector<edm::RefVector<vector<reco::Track>,reco::Track,edm::refhelper::FindUsingAdvance<vector<reco::Track>,reco::Track> > >,edm::RefToBase<reco::Jet>,unsigned int,edm::helper::AssociationIdenticalKeyReference>    "ak4JetTracksAssociatorExplicit"   ""                "RECO"         recoJetedmRefToBaseProdrecoTracksrecoTrackrecoTracksTorecoTrackedmrefhelperFindUsingAdvanceedmRefVectorsAssociationVector_ak4JetTracksAssociatorExplicit__RECO
