#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
357405:8121,08/13/22 02:25:32,8,0,0.000001266,0
357406:8121,08/13/22 02:28:17,174,174,0.038228860,0.036338464
357437:8124,08/13/22 14:21:30,7,0,0.000001610,0
357438:8124,08/13/22 14:24:12,259,230,0.076923110,0.061178291
357440:8124,08/13/22 16:04:45,362,354,0.121632436,0.112206320
357441:8124,08/13/22 18:25:23,97,84,0.029340935,0.024570857
357442:8124,08/13/22 19:03:01,1386,1386,0.317677029,0.309189455
357446:8125,08/14/22 06:27:40,7,0,0.000001609,0
357447:8125,08/14/22 06:30:11,50,50,0.005089162,0.004711749
357471:8128,08/14/22 18:26:44,7,0,0.000001677,0
357472:8128,08/14/22 18:29:11,60,60,0.008948309,0.008450828
357477:8128,08/15/22 03:29:27,11,2,0.000002637,0.000000132
357478:8128,08/15/22 03:33:23,55,50,0.007366396,0.004913164
357479:8128,08/15/22 03:54:42,1065,1046,0.344830913,0.323123255
357482:8128,08/15/22 10:48:27,221,221,0.054712088,0.049715047
357537:8132,08/15/22 20:19:41,8,0,0.000001785,0
357538:8132,08/15/22 20:22:33,69,64,0.010962947,0.008164606
357539:8132,08/15/22 20:49:04,16,8,0.004162987,0.000356579
357540:8132,08/15/22 20:54:59,6,2,0.001686843,0.000074182
357542:8132,08/15/22 20:57:04,260,252,0.093716154,0.082282721
357550:8132,08/15/22 22:37:56,36,36,0.012805929,0.011679760
357609:8136,08/17/22 05:06:11,12,3,0.000002112,0.000000173
357610:8136,08/17/22 05:10:18,258,253,0.052735991,0.048323319
357611:8136,08/17/22 06:50:11,419,412,0.116042298,0.108858245
357612:8136,08/17/22 09:32:56,746,736,0.162252255,0.153895784
357613:8136,08/17/22 14:22:25,256,256,0.046287586,0.045152973
357675:8140,08/18/22 19:09:44,19,3,0.000004583,0.000000111
357677:8140,08/18/22 19:16:47,5,5,0.000001191,0.000001172
357686:8142,08/19/22 00:25:36,9,3,0.000002067,0.000000214
357687:8142,08/19/22 00:28:57,129,81,0.026908669,0.006865804
357688:8142,08/19/22 01:18:58,380,380,0.138459671,0.128258467
357695:8143,08/19/22 06:39:12,7,0,0.000001561,0
357696:8143,08/19/22 06:41:42,420,411,0.143192675,0.129126819
357697:8143,08/19/22 09:24:42,82,78,0.028880822,0.025105697
357698:8143,08/19/22 09:56:19,70,63,0.023769613,0.018430600
357699:8143,08/19/22 10:23:21,35,30,0.011535485,0.009129905
357700:8143,08/19/22 10:36:51,766,758,0.215554809,0.207597980
357701:8143,08/19/22 15:34:11,410,344,0.091483327,0.068916922
