#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
383496:9925,07/23/24 02:49:04,191,191,0.081965630,0.075226097
383512:9926,07/23/24 06:42:22,1822,1809,0.818066943,0.749367365
383513:9926,07/23/24 18:29:58,56,17,0.018173682,0.000005346
383514:9926,07/23/24 18:51:23,202,202,0.058898506,0.056480351
383536:9927,07/24/24 02:10:10,181,176,0.072865997,0.064779195
383537:9927,07/24/24 03:19:59,81,76,0.039487524,0.033085389
383538:9927,07/24/24 03:51:26,11,3,0.005341048,0.000332802
383539:9927,07/24/24 03:55:38,9,4,0.004396438,0.000346846
383540:9927,07/24/24 03:59:01,7,3,0.003399361,0.000379963
383541:9927,07/24/24 04:01:38,307,307,0.149513561,0.139083282
383628:9931,07/25/24 00:34:29,16,0,0.003855331,0
383629:9931,07/25/24 00:40:17,196,190,0.083802981,0.076432163
383630:9931,07/25/24 01:56:20,311,301,0.147136783,0.132449026
383631:9931,07/25/24 03:56:49,1687,1687,0.686625374,0.645982391
383647:9932,07/25/24 16:57:09,129,124,0.048743314,0.042653530
383648:9932,07/25/24 17:46:40,236,232,0.115054675,0.103238764
383649:9932,07/25/24 19:18:20,347,342,0.169325192,0.153989915
383650:9932,07/25/24 21:33:00,42,42,0.020475777,0.017866369
383659:9934,07/26/24 01:28:53,1,0,0.000000105,0
383661:9934,07/26/24 01:43:23,121,112,0.045182187,0.037518075
383662:9934,07/26/24 02:30:01,182,182,0.088592870,0.080862206
383665:9935,07/26/24 05:25:30,1,0,0.000000105,0
383669:9935,07/26/24 05:36:58,650,650,0.304725872,0.283173919
383687:9936,07/26/24 12:03:18,486,486,0.225014029,0.208414643
383692:9937,07/26/24 17:16:41,874,870,0.412616704,0.375119380
383693:9937,07/26/24 22:56:12,177,171,0.085719029,0.071076868
383694:9937,07/27/24 00:04:44,39,33,0.018219369,0.008885941
383695:9937,07/27/24 00:19:44,740,740,0.284004336,0.266871585
383712:9939,07/27/24 08:30:33,1650,1562,0.753031680,0.670397229
383723:9939,07/27/24 19:11:15,98,84,0.033791202,0.028034742
383724:9939,07/27/24 19:49:19,193,193,0.062225792,0.060042473
383740:9941,07/28/24 01:25:52,700,689,0.324094884,0.293417119
383741:9941,07/28/24 05:57:18,592,588,0.283940295,0.256576094
383742:9941,07/28/24 09:47:18,44,35,0.019127312,0
383743:9941,07/28/24 10:04:22,14,14,0.005896213,0.004853297
383754:9942,07/28/24 12:09:25,1,0,0.000000123,0
383756:9942,07/28/24 12:22:34,1436,1425,0.665863806,0.597471011
383757:9942,07/28/24 21:40:23,19,7,0.007361852,0.000025780
383758:9942,07/28/24 21:47:46,39,39,0.014944668,0.013836531
383766:9943,07/29/24 00:24:15,11,1,0.003518694,0
383767:9943,07/29/24 00:28:00,1619,1609,0.737745931,0.677154890
383779:9943,07/29/24 10:56:46,180,180,0.060255581,0.057515684
383810:9945,07/29/24 16:37:29,1,0,0.000000115,0
383811:9945,07/29/24 16:48:34,60,51,0.020270127,0.013850183
383812:9945,07/29/24 17:11:17,347,338,0.169247665,0.148483060
383813:9945,07/29/24 19:25:59,120,104,0.058512823,0.046170118
383814:9945,07/29/24 20:12:38,1251,1251,0.554463888,0.518174384
383830:9947,07/30/24 07:58:32,143,133,0.060031846,0.048858268
383831:9947,07/30/24 08:53:56,13,3,0.006320370,0.000000005
383832:9947,07/30/24 08:59:00,414,406,0.202318032,0.176923289
383833:9947,07/30/24 11:39:37,181,173,0.088290986,0.077341788
383834:9947,07/30/24 12:49:56,439,439,0.211772505,0.196056754
383854:9951,07/30/24 20:28:32,1106,1099,0.529018323,0.480761004
383855:9951,07/31/24 03:37:50,911,911,0.355506083,0.336095928
383900:9960,07/31/24 15:49:53,40,40,0.010915391,0.010444037
383907:9962,08/01/24 01:32:00,639,631,0.301621783,0.268771365
383908:9962,08/01/24 05:40:02,17,17,0.008196710,0.007197214
383941:9966,08/01/24 17:16:38,122,109,0.000069550,0.000049605
383944:9966,08/01/24 18:03:48,107,102,0.000141975,0.000126941
383945:9966,08/01/24 18:45:07,111,111,0.000140820,0.000125349
383948:9967,08/01/24 21:28:27,901,892,0.422739046,0.383429350
383949:9967,08/02/24 03:17:57,907,907,0.385647514,0.364621136
383996:9969,08/02/24 14:20:55,2223,2223,0.920703120,0.869254234
384014:9970,08/03/24 07:45:31,391,391,0.171820442,0.161465485
384028:9971,08/03/24 12:21:07,1,0,0.000000113,0
384029:9971,08/03/24 12:35:04,484,478,0.217108908,0.196962289
384030:9971,08/03/24 15:42:45,13,2,0.006194998,0.000028123
384031:9971,08/03/24 15:47:31,179,158,0.084422231,0.070775522
384032:9971,08/03/24 16:56:59,84,76,0.039755176,0.031345565
384033:9971,08/03/24 17:29:23,22,14,0.010321992,0.005306786
384034:9971,08/03/24 17:37:47,9,4,0.004267767,0.000047833
384035:9971,08/03/24 17:41:08,356,347,0.167895585,0.151203077
384036:9971,08/03/24 19:59:20,244,244,0.108928809,0.102926116
384052:9973,08/04/24 01:23:11,2157,2157,0.900121728,0.844191288
384069:9974,08/04/24 17:12:36,1242,1235,0.575018598,0.517661794
384070:9974,08/05/24 01:14:33,768,718,0.283935285,0.252395475
384071:9974,08/05/24 06:12:50,282,282,0.078495119,0.076099704
384124:9978,08/05/24 19:03:51,93,80,0.032573964,0.023462835
384126:9978,08/05/24 19:39:33,29,20,0.013652248,0.006196674
384127:9978,08/05/24 19:50:44,26,15,0.012279159,0.006211584
