#Data tag : 24v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
372491:9084,08/31/23 07:16:57,20,4,0.000001290,0.000000073
372493:9084,08/31/23 07:24:29,42,5,0.000003383,0.000000085
372568:9089,08/31/23 21:24:34,8,0,0,0
372571:9089,08/31/23 21:27:28,73,68,0,0
372572:9089,08/31/23 21:55:29,358,358,0.000000214,0.000000212
372585:9094,09/01/23 06:30:30,10,0,0.000000005,0
372587:9094,09/01/23 06:34:18,9,6,0.000000005,0.000000001
372588:9094,09/01/23 06:37:49,56,56,0.000000028,0.000000028
372591:9095,09/01/23 08:38:37,18,2,0.000000068,0.000000005
372594:9095,09/01/23 08:45:15,84,84,0.000000278,0.000000268
372657:9102,09/02/23 17:11:29,7,0,0,0
372658:9102,09/02/23 17:13:55,706,706,0.000002963,0.000002932
372710:9107,09/03/23 19:02:54,6,0,0.000000008,0.000000007
372711:9107,09/03/23 19:05:12,176,176,0.000000716,0.000000708
372713:9108,09/03/23 21:34:01,10,0,0,0
372715:9108,09/03/23 21:37:47,389,389,0.000002387,0.000002362
372720:9110,09/04/23 02:20:44,7,0,0,0
372721:9110,09/04/23 02:23:15,293,293,0.000001811,0.000001799
372723:9112,09/04/23 06:42:33,13,0,0,0
372725:9112,09/04/23 06:47:22,140,140,0.000000158,0.000000156
372748:9113,09/04/23 10:09:32,28,13,0,0
372749:9113,09/04/23 10:19:59,142,104,0.000006212,0.000001768
372750:9113,09/04/23 11:14:44,18,3,0.000002248,0
372751:9113,09/04/23 11:21:22,71,60,0.000001358,0.000001344
372752:9113,09/04/23 11:48:50,267,267,0.000000333,0.000000330
372760:9115,09/04/23 16:23:14,7,0,0,0
372761:9115,09/04/23 16:25:52,72,72,0.000000005,0.000000005
372763:9117,09/05/23 00:21:48,6,0,0,0
372764:9117,09/05/23 00:24:05,796,779,0.000000852,0.000000842
372765:9117,09/05/23 05:33:07,64,55,0.000000003,0.000000003
372766:9117,09/05/23 05:57:39,15,6,0,0
372767:9117,09/05/23 06:03:22,74,73,0.000000004,0.000000004
372768:9117,09/05/23 06:32:08,292,282,0.000000009,0.000000008
372769:9117,09/05/23 08:25:16,7,7,0,0
372770:9117,09/05/23 08:27:46,93,76,0.000000012,0.000000004
372772:9117,09/05/23 09:03:45,45,43,0.000000011,0.000000011
372773:9117,09/05/23 09:21:09,60,57,0.000000002,0.000000002
372775:9117,09/05/23 09:44:24,49,49,0.000000011,0.000000011
372795:9120,09/05/23 12:13:25,10,0,0,0
372797:9120,09/05/23 12:17:14,93,88,0.000000060,0.000000038
372798:9120,09/05/23 12:53:18,103,84,0.000000116,0.000000112
372799:9120,09/05/23 13:33:15,55,45,0.000000425,0.000000421
372800:9121,09/05/23 15:58:41,236,236,0.000000114,0.000000113
372812:9122,09/05/23 19:22:00,7,0,0,0
372912:9122,09/05/23 19:24:27,263,263,0.000000260,0.000000260
372916:9123,09/05/23 23:05:08,7,0,0,0
372917:9123,09/05/23 23:07:46,431,431,0.000000168,0.000000168
372919:9124,09/06/23 03:24:52,24,3,0,0
372921:9124,09/06/23 03:33:47,304,304,0.000000450,0.000000440
373058:9128,09/07/23 13:47:27,9,0,0.000000001,0
373060:9128,09/07/23 13:50:48,519,509,0.000035409,0.000034388
373061:9128,09/07/23 17:12:15,1397,1397,0.000108708,0.000107991
373066:9130,09/08/23 07:18:48,6,0,0,0
373067:9130,09/08/23 07:20:45,187,186,0.000000007,0.000000007
373068:9130,09/08/23 08:33:03,72,66,0.000000002,0.000000002
373069:9130,09/08/23 09:00:49,259,258,0.000000017,0.000000017
373072:9130,09/08/23 10:41:25,230,230,0.000000006,0.000000006
373079:9131,09/08/23 13:59:36,6,0,0,0
373081:9131,09/08/23 14:03:41,84,82,0.000000001,0.000000001
373082:9131,09/08/23 14:54:54,518,344,0.000000029,0.000000011
373086:9131,09/08/23 18:15:52,6,4,0,0
373087:9131,09/08/23 18:18:13,7,4,0,0
373088:9131,09/08/23 18:20:54,1552,1552,0.000000017,0.000000017
373090:9132,09/09/23 08:37:11,9,2,0,0
373091:9132,09/09/23 08:41:56,7,2,0,0
373092:9132,09/09/23 08:46:55,493,486,0.000000060,0.000000059
373097:9132,09/09/23 12:13:04,408,405,0.000000088,0.000000076
373131:9132,09/09/23 14:51:35,60,58,0.000000003,0.000000003
373132:9132,09/09/23 15:14:53,1449,1061,0.000007741,0.000000062
373134:9135,09/10/23 05:09:39,14,5,0,0
373135:9135,09/10/23 05:14:35,870,867,0.000000058,0.000000057
373136:9135,09/10/23 10:52:27,8,5,0,0
373137:9135,09/10/23 10:55:29,48,34,0.000000004,0.000000002
373139:9135,09/10/23 11:14:07,10,8,0.000000001,0
373140:9135,09/10/23 11:17:38,11,8,0.000000001,0
373141:9135,09/10/23 11:21:34,286,269,0.000000007,0.000000007
373142:9136,09/10/23 18:11:37,1080,1080,0.000000058,0.000000058
373208:9138,09/11/23 07:16:43,5,0,0,0
373209:9138,09/11/23 07:18:23,908,907,0.000000044,0.000000044
373478:9153,09/14/23 20:33:29,5,0,0,0
373480:9153,09/14/23 20:35:22,1415,1406,0.000000064,0.000000064
373534:9154,09/15/23 14:19:06,5,0,0,0
373536:9154,09/15/23 14:20:52,2266,2264,0.000000086,0.000000085
373538:9154,09/16/23 05:00:57,514,514,0.000000007,0.000000007
373563:9156,09/16/23 19:40:44,5,0,0,0
373564:9156,09/16/23 19:42:32,1755,1754,0.000000061,0.000000061
373565:9156,09/17/23 07:04:10,17,3,0,0
373574:9159,09/17/23 13:32:32,8,0,0,0
373576:9159,09/17/23 13:35:19,1993,1992,0.000000100,0.000000100
373577:9159,09/18/23 02:30:07,383,363,0.000000005,0.000000005
373578:9161,09/18/23 09:14:35,14,4,0,0
373580:9161,09/18/23 09:19:25,8,3,0,0
373581:9161,09/18/23 09:22:13,375,375,0.000000026,0.000000026
373609:9162,09/18/23 22:50:22,3,0,0,0
373612:9162,09/18/23 22:51:04,11,6,0,0
373615:9162,09/18/23 22:55:14,1413,1413,0.000000064,0.000000064
373662:9164,09/19/23 18:33:48,7,0,0,0
373664:9164,09/19/23 18:36:25,96,96,0.000000331,0.000000327
373705:9168,09/19/23 23:22:58,38,0,0.000012080,0
373710:9168,09/19/23 23:37:32,1006,1006,0.000427024,0.000422304
#Summary:
#nfill,nrun,nls,ncms,totdelivered(/fb),totrecorded(/fb)
#142,508,145145,139570,32.553521774,29.948718288
